序号,温度(℃),湿度(%),日期
51,24.3,35.0,2026-03-25 13:51:00
52,27.5,29.6,2026-03-25 14:21:00
53,29.9,25.1,2026-03-25 14:51:00
54,28.8,25.6,2026-03-25 15:21:00
55,30.1,23.8,2026-03-25 15:51:00
56,31.9,22.5,2026-03-25 16:21:00
57,27.7,26.5,2026-03-25 16:51:00
58,28.5,25.5,2026-03-25 17:21:00
59,24.8,30.5,2026-03-25 17:51:00
60,23.1,33.9,2026-03-25 18:21:00
61,21.7,37.0,2026-03-25 18:51:00
62,20.5,40.9,2026-03-25 19:21:00
63,19.7,40.7,2026-03-25 19:51:00
64,19.2,43.8,2026-03-25 20:21:00
65,18.7,45.7,2026-03-25 20:51:00
66,18.1,48.2,2026-03-25 21:21:00
67,17.6,52.3,2026-03-25 21:51:00
68,16.7,54.9,2026-03-25 22:21:00
69,17.2,53.8,2026-03-25 22:51:00
70,17.4,53.1,2026-03-25 23:21:00
71,17.4,52.9,2026-03-25 23:51:00
72,17.4,51.7,2026-03-26 00:21:00
73,17.6,50.1,2026-03-26 00:51:00
74,17.6,50.1,2026-03-26 01:21:00
75,17.3,52.0,2026-03-26 01:51:00
76,16.5,52.5,2026-03-26 02:21:00
77,16.3,53.4,2026-03-26 02:51:00
78,15.8,57.3,2026-03-26 03:21:00
79,16.4,53.7,2026-03-26 03:51:00
80,15.8,54.0,2026-03-26 04:21:00
81,15.3,55.3,2026-03-26 04:51:00
82,15.1,55.2,2026-03-26 05:21:00
83,14.8,55.9,2026-03-26 05:51:00
84,14.8,55.2,2026-03-26 06:21:00
85,14.8,55.8,2026-03-26 06:51:00
86,14.6,56.5,2026-03-26 07:21:00
87,15.2,56.5,2026-03-26 07:51:00
88,21.6,40.3,2026-03-26 08:21:00
89,21.7,40.5,2026-03-26 08:51:00
90,21.8,39.0,2026-03-26 09:21:00
91,23.0,36.3,2026-03-26 09:51:00
92,24.6,30.7,2026-03-26 10:21:00
93,26.8,26.4,2026-03-26 10:51:00
94,27.4,27.8,2026-03-26 11:21:00
95,28.5,23.3,2026-03-26 11:51:00
96,30.4,21.4,2026-03-26 12:21:00
97,30.9,18.9,2026-03-26 12:51:00
98,32.1,19.1,2026-03-26 13:21:00
99,32.4,17.4,2026-03-26 13:51:00
100,34.8,14.8,2026-03-26 14:21:00
101,34.6,14.6,2026-03-26 14:51:00
102,33.9,14.6,2026-03-26 15:21:00
103,33.5,14.7,2026-03-26 15:51:00
104,38.5,12.2,2026-03-26 16:21:00
105,37.6,11.8,2026-03-26 16:51:00
106,35.5,13.0,2026-03-26 17:21:00
107,27.4,17.6,2026-03-26 17:51:00
108,25.0,25.4,2026-03-26 18:21:00
109,23.7,26.1,2026-03-26 18:51:00
110,22.3,30.4,2026-03-26 19:21:00
111,21.5,31.3,2026-03-26 19:51:00
112,20.8,33.3,2026-03-26 20:21:00
113,20.5,34.2,2026-03-26 20:51:00
114,20.3,33.7,2026-03-26 21:21:00
115,19.8,36.3,2026-03-26 21:51:00
116,19.5,37.7,2026-03-26 22:21:00
117,19.3,38.4,2026-03-26 22:51:00
118,18.8,41.5,2026-03-26 23:21:00
119,18.3,44.1,2026-03-26 23:51:00
120,18.0,43.1,2026-03-27 00:21:00
121,17.6,45.1,2026-03-27 00:51:00
122,17.2,47.6,2026-03-27 01:21:00
123,16.0,53.3,2026-03-27 01:51:00
124,15.4,59.4,2026-03-27 02:21:00
125,15.4,62.2,2026-03-27 02:51:00
126,15.2,62.8,2026-03-27 03:21:00
127,14.8,63.0,2026-03-27 03:51:00
128,14.4,64.3,2026-03-27 04:21:00
129,14.3,65.8,2026-03-27 04:51:00
130,13.7,66.7,2026-03-27 05:21:00
131,13.3,67.2,2026-03-27 05:51:00
132,12.8,67.6,2026-03-27 06:21:00
133,12.8,68.1,2026-03-27 06:51:00
134,12.9,69.6,2026-03-27 07:21:00
135,13.6,68.2,2026-03-27 07:51:00
136,19.5,52.9,2026-03-27 08:21:00
137,20.6,48.5,2026-03-27 08:51:00
138,21.8,41.1,2026-03-27 09:21:00
139,23.4,33.7,2026-03-27 09:51:00
140,24.4,30.2,2026-03-27 10:21:00
141,26.3,27.4,2026-03-27 10:51:00
142,27.1,25.9,2026-03-27 11:21:00
143,28.7,21.9,2026-03-27 11:51:00
144,30.1,20.7,2026-03-27 12:21:00
145,30.7,19.9,2026-03-27 12:51:00
146,31.4,19.1,2026-03-27 13:21:00
147,31.8,19.0,2026-03-27 13:51:00
148,34.3,17.8,2026-03-27 14:21:00
149,34.7,16.4,2026-03-27 14:51:00
150,33.7,17.3,2026-03-27 15:21:00
151,32.5,16.4,2026-03-27 15:51:00
152,37.2,13.6,2026-03-27 16:21:00
153,36.0,14.2,2026-03-27 16:51:00
154,34.0,15.2,2026-03-27 17:21:00
155,27.3,21.4,2026-03-27 17:51:00
156,25.2,24.5,2026-03-27 18:21:00
157,23.7,26.4,2026-03-27 18:51:00
158,22.4,29.8,2026-03-27 19:21:00
159,21.6,30.4,2026-03-27 19:51:00
160,20.9,32.4,2026-03-27 20:21:00
161,20.5,34.3,2026-03-27 20:51:00
162,20.2,35.1,2026-03-27 21:21:00
163,19.8,38.2,2026-03-27 21:51:00
164,19.3,40.4,2026-03-27 22:21:00
165,18.9,39.6,2026-03-27 22:51:00
166,18.4,42.9,2026-03-27 23:21:00
167,18.3,41.2,2026-03-27 23:51:00
168,17.9,45.0,2026-03-28 00:21:00
169,17.8,43.4,2026-03-28 00:51:00
170,17.7,44.1,2026-03-28 01:21:00
171,17.4,45.3,2026-03-28 01:51:00
172,17.2,46.3,2026-03-28 02:21:00
173,16.7,48.1,2026-03-28 02:51:00
174,16.7,46.1,2026-03-28 03:21:00
175,16.3,48.9,2026-03-28 03:51:00
176,16.2,50.3,2026-03-28 04:21:00
177,15.7,53.8,2026-03-28 04:51:00
178,15.1,55.9,2026-03-28 05:21:00
179,14.4,58.5,2026-03-28 05:51:00
180,13.9,60.5,2026-03-28 06:21:00
181,13.6,63.7,2026-03-28 06:51:00
182,13.5,67.5,2026-03-28 07:21:00
183,14.3,67.4,2026-03-28 07:51:00
184,18.0,59.6,2026-03-28 08:21:00
185,21.2,50.1,2026-03-28 08:51:00
186,21.7,46.5,2026-03-28 09:21:00
187,23.8,39.5,2026-03-28 09:51:00
188,25.0,38.0,2026-03-28 10:21:00
189,26.8,34.1,2026-03-28 10:51:00
190,27.2,31.5,2026-03-28 11:21:00
191,28.5,26.8,2026-03-28 11:51:00
192,30.3,25.8,2026-03-28 12:21:00
193,31.0,23.5,2026-03-28 12:51:00
194,32.0,22.5,2026-03-28 13:21:00
195,32.5,21.9,2026-03-28 13:51:00
196,33.7,18.4,2026-03-28 14:21:00
197,35.2,15.5,2026-03-28 14:51:00
198,33.0,18.6,2026-03-28 15:21:00
199,32.7,18.6,2026-03-28 15:51:00
200,34.8,16.8,2026-03-28 16:21:00
201,34.9,17.3,2026-03-28 16:51:00
202,31.6,20.6,2026-03-28 17:21:00
203,26.3,25.9,2026-03-28 17:51:00
204,24.5,28.0,2026-03-28 18:21:00
205,23.6,29.2,2026-03-28 18:51:00
206,22.4,31.8,2026-03-28 19:21:00
207,21.6,33.6,2026-03-28 19:51:00
208,21.1,37.9,2026-03-28 20:21:00
209,20.6,39.0,2026-03-28 20:51:00
210,20.2,42.6,2026-03-28 21:21:00
211,19.9,44.3,2026-03-28 21:51:00
212,19.6,41.1,2026-03-28 22:21:00
213,19.3,42.7,2026-03-28 22:51:00
214,19.2,44.2,2026-03-28 23:21:00
215,18.9,50.0,2026-03-28 23:51:00
216,18.0,55.0,2026-03-29 00:21:00
217,18.1,55.7,2026-03-29 00:51:00
218,17.8,60.3,2026-03-29 01:21:00
219,14.6,76.9,2026-03-29 01:51:00
220,13.6,82.2,2026-03-29 02:21:00
221,13.2,82.9,2026-03-29 02:51:00
222,13.2,83.8,2026-03-29 03:21:00
223,13.1,84.4,2026-03-29 03:51:00
224,12.6,83.1,2026-03-29 04:21:00
225,12.8,84.9,2026-03-29 04:51:00
226,13.2,84.2,2026-03-29 05:21:00
227,13.1,84.9,2026-03-29 05:51:00
228,12.9,83.2,2026-03-29 06:21:00
229,12.7,83.6,2026-03-29 06:51:00
230,12.7,83.7,2026-03-29 07:21:00
231,13.7,80.9,2026-03-29 07:51:00
232,13.6,79.8,2026-03-29 08:21:00
233,13.2,83.1,2026-03-29 08:51:00
234,13.8,78.1,2026-03-29 09:21:00
235,15.8,68.9,2026-03-29 09:51:00
236,19.2,56.3,2026-03-29 10:21:00
237,19.2,54.0,2026-03-29 10:51:00
238,19.4,50.8,2026-03-29 11:21:00
239,21.8,47.2,2026-03-29 11:51:00
240,22.6,41.5,2026-03-29 12:21:00
241,25.0,37.8,2026-03-29 12:51:00
242,26.3,34.2,2026-03-29 13:21:00
243,26.5,32.4,2026-03-29 13:51:00
244,26.2,32.0,2026-03-29 14:21:00
245,23.4,37.2,2026-03-29 14:51:00
246,21.5,39.7,2026-03-29 15:21:00
247,22.3,38.3,2026-03-29 15:51:00
248,20.5,42.4,2026-03-29 16:21:00
249,17.6,60.2,2026-03-29 16:51:00
250,16.1,70.5,2026-03-29 17:21:00
251,16.4,69.7,2026-03-29 17:51:00
252,16.4,65.7,2026-03-29 18:21:00
253,16.1,67.1,2026-03-29 18:51:00
254,15.6,69.5,2026-03-29 19:21:00
255,15.7,64.4,2026-03-29 19:51:00
256,14.5,67.9,2026-03-29 20:21:00
257,14.4,68.4,2026-03-29 20:51:00
258,14.5,65.2,2026-03-29 21:21:00
259,14.6,64.7,2026-03-29 21:51:00
260,14.7,61.8,2026-03-29 22:21:00
261,14.6,61.9,2026-03-29 22:51:00
262,14.4,62.4,2026-03-29 23:21:00
263,14.3,63.3,2026-03-29 23:51:00
264,14.1,64.1,2026-03-30 00:21:00
265,14.1,62.6,2026-03-30 00:51:00
266,13.6,65.4,2026-03-30 01:21:00
267,13.2,66.3,2026-03-30 01:51:00
268,13.2,67.5,2026-03-30 02:21:00
269,13.2,66.5,2026-03-30 02:51:00
270,13.2,66.8,2026-03-30 03:21:00
271,12.6,70.7,2026-03-30 03:51:00
272,12.3,71.6,2026-03-30 04:21:00
273,11.8,74.1,2026-03-30 04:51:00
274,11.3,76.2,2026-03-30 05:21:00
275,11.2,76.6,2026-03-30 05:51:00
276,11.6,75.4,2026-03-30 06:21:00
277,11.7,74.3,2026-03-30 06:51:00
278,11.7,76.2,2026-03-30 07:21:00
279,12.0,75.9,2026-03-30 07:51:00
280,19.4,53.2,2026-03-30 08:21:00
281,21.5,45.3,2026-03-30 08:51:00
282,20.0,49.0,2026-03-30 09:21:00
283,21.8,42.0,2026-03-30 09:51:00
284,23.2,39.6,2026-03-30 10:21:00
285,22.1,40.2,2026-03-30 10:51:00
